location_id,city,area,location_name,latitude,longitude,population_density,avg_income,competitors,accessibility_score,parking_availability,foot_traffic,rent_per_sqft
1,Bengaluru,Indiranagar,"Indiranagar, Bengaluru",12.9784,77.6408,8860,134886,10,7,3,182,224
2,Bengaluru,Koramangala,"Koramangala, Bengaluru",12.9352,77.6245,9685,144820,11,8,2,101,237
3,Bengaluru,Whitefield,"Whitefield, Bengaluru",12.9698,77.75,10433,85311,8,8,2,159,170
4,Bengaluru,Electronic City,"Electronic City, Bengaluru",12.8399,77.677,6843,57480,4,6,5,46,71
5,Bengaluru,BTM Layout,"BTM Layout, Bengaluru",12.9166,77.6101,12734,85773,7,6,4,100,124
6,Bengaluru,Jayanagar,"Jayanagar, Bengaluru",12.9299,77.5826,13556,53890,4,8,3,56,90
7,Bengaluru,JP Nagar,"JP Nagar, Bengaluru",12.9063,77.5857,18792,58433,5,8,4,58,122
8,Bengaluru,Yelahanka,"Yelahanka, Bengaluru",13.1007,77.5963,4556,47159,1,5,5,54,43
9,Bengaluru,Hebbal,"Hebbal, Bengaluru",13.0354,77.5988,17555,69457,5,7,2,55,123
10,Bengaluru,Marathahalli,"Marathahalli, Bengaluru",12.9569,77.7011,12798,145697,14,9,2,173,163
11,Bengaluru,Sarjapur Road,"Sarjapur Road, Bengaluru",12.9226,77.6734,19467,51016,8,6,3,111,109
12,Bengaluru,HSR Layout,"HSR Layout, Bengaluru",12.9121,77.6446,8878,89268,12,7,1,123,273
13,Bengaluru,Bannerghatta Road,"Bannerghatta Road, Bengaluru",12.8878,77.5971,12062,52568,6,8,2,50,77
14,Bengaluru,Malleshwaram,"Malleshwaram, Bengaluru",13.0031,77.5643,8391,93986,10,7,2,134,182
15,Bengaluru,Rajajinagar,"Rajajinagar, Bengaluru",12.9982,77.553,16184,72662,4,8,4,61,103
16,Bengaluru,KR Puram,"KR Puram, Bengaluru",13.0083,77.7031,5645,44039,4,5,4,56,64
17,Bengaluru,Banashankari,"Banashankari, Bengaluru",12.9175,77.5562,19762,55056,6,6,2,96,147
18,Bengaluru,Basavanagudi,"Basavanagudi, Bengaluru",12.9406,77.5684,17385,83270,4,8,4,63,96
19,Bengaluru,Bellandur,"Bellandur, Bengaluru",12.9304,77.6784,15977,73419,4,6,3,100,132
20,Bengaluru,Ulsoor,"Ulsoor, Bengaluru",12.9815,77.6226,17574,56374,8,6,4,64,112
21,Bengaluru,CV Raman Nagar,"CV Raman Nagar, Bengaluru",12.9855,77.6639,19914,77890,5,6,3,77,135
22,Bengaluru,Domlur,"Domlur, Bengaluru",12.9609,77.6387,11060,82693,11,8,2,127,177
23,Bengaluru,Kalyan Nagar,"Kalyan Nagar, Bengaluru",13.028,77.6399,15450,68047,4,8,3,111,70
24,Bengaluru,RT Nagar,"RT Nagar, Bengaluru",13.0247,77.5948,16776,77251,6,6,3,52,139
25,Bengaluru,Vijayanagar,"Vijayanagar, Bengaluru",12.9756,77.5354,13748,81968,6,7,2,100,113
26,Mysuru,Gokulam,"Gokulam, Mysuru",12.3259,76.6331,11763,134384,11,8,3,161,201
27,Mysuru,Kuvempunagar,"Kuvempunagar, Mysuru",12.2858,76.6264,17554,73664,4,7,3,105,128
28,Mangaluru,Kadri,"Kadri, Mangaluru",12.8824,74.856,14363,80854,10,8,2,195,278
29,Mangaluru,Hampankatta,"Hampankatta, Mangaluru",12.8704,74.8436,15172,88559,7,8,4,119,101
30,Hubballi-Dharwad,Vidya Nagar,"Vidya Nagar, Hubballi-Dharwad",15.3647,75.124,14218,62688,8,7,3,87,93
31,Hubballi-Dharwad,Navanagar,"Navanagar, Hubballi-Dharwad",15.3948,75.113,3930,41774,1,6,5,35,62
32,Belagavi,Tilakwadi,"Tilakwadi, Belagavi",15.8366,74.5065,12511,65708,7,8,4,52,89
33,Belagavi,Camp,"Camp, Belagavi",15.8562,74.5312,3369,31986,4,6,5,38,49
